task,country,lga,burden,burden_raw_uncalibrated,ci_lo,ci_hi,population
sw,Nigeria,Maru,408906.39721751894,408191.06553324475,357590.64396895585,462067.7995047774,429148.851414
sw,Nigeria,Gamawa,406082.75750221964,407872.90114872414,348563.56630973646,473163.8718996173,422868.34116199997
sw,Nigeria,Mangu,399135.53697315895,397082.1835778839,351957.32220620464,452942.17343561817,436193.623488
sw,Nigeria,Yenagoa,398328.0897150838,381503.378599046,276453.9962214762,540969.4878150444,546766.373963
sw,Nigeria,Zaria,396817.240264701,388332.2899889523,262360.37849311874,546923.2610626405,585204.666834
sw,Nigeria,Kumbotso,393397.7331191988,380266.75554990245,298681.7472821578,501921.4765375966,505766.793043
sw,Nigeria,Oshodi/Isolo,393309.10627845017,357077.61071587907,341251.85753570485,439552.44581245043,967778.714343
sw,Nigeria,Giwa,391268.01247894845,388716.91743601445,341735.9073554688,444869.72051441675,433506.016618
sw,Nigeria,Aguata,387528.58124391484,347071.0697495288,306868.9729608933,460853.42205132206,520755.115868
sw,Nigeria,IdemiliNorth,387252.616033942,372305.07644462574,298900.2483607492,480852.93125196075,505001.773345
sw,Nigeria,Gwagwalada,385916.3056161852,379016.3399234242,224822.6040135571,568132.4214647245,504279.67598400003
sw,Nigeria,Ganjuwa,383115.27243235166,380439.9010560347,342127.6631718647,425664.0496858287,413073.692205
sw,Nigeria,Lafia,382944.9757800968,374595.1849023185,306407.19924106926,470409.95689088013,471762.083018
sw,Nigeria,AmuwoOdofin,380637.28651145566,340187.4810875382,213355.53482190464,596774.2028340618,747721.481207
sw,Nigeria,Ikorodu,380441.43174716533,335164.5239007888,317403.0041987605,443657.61752252176,806471.896434
